id,rated,createdAt,lastMoveAt,turns,victoryStatus,winner,incrementCode,whiteId,whiteRating,blackId,blackRating,moves,openingEco,openingName,openingPly
01PkUIzB,TRUE,1490966913213,1490967490885,62,resign,black,10+0,sheik_yerbouti,1578,albarnal,1505,e4 e5 Nf3 Nc6 Bc4 h6 Nc3 Bc5 d3 Nf6 a3 Ng4 Rf1 Nd4 Be3 Nxf3+ gxf3 Nxe3 fxe3 Bxe3 Qe2 Qh4+ Kd1 Bf4 Nd5 O-O Rg1 Bxh2 Ne7+ Kh8 Rxg7 Kxg7 Qg2+ Bg3 Nf5+ Kf6 Nxh4 Bxh4 Ke2 d6 Rh1 Bg5 Rh5 Be6 Bxe6 fxe6 c3 Rg8 Qh3 Rg6 d4 exd4 cxd4 a5 f4 Bxf4 Qh4+ Bg5 Rxg5 hxg5 Qh8+ Rxh8,C55,Italian Game: Anti-Fried Liver Defense,6
01PN8FTL,FALSE,1.48199E+12,1.48199E+12,35,resign,white,20+5,rps_1899,2126,theli11,1225,e4 e5 Nf3 Bc5 Nxe5 Qf6 Nd3 b6 Nxc5 Ne7 Nd3 O-O Qf3 Qc6 Nb4 Qb7 d4 Re8 Bc4 d5 Bb5 c6 Bd3 dxe4 Bxe4 Nd5 a3 c5 dxc5 Nxb4 axb4 Nd7 O-O Rxe4 Nc3,C40,King's Pawn Game: Busch-Gass Gambit,4
01SY3OrQ,FALSE,1.49161E+12,1.49161E+12,138,outoftime,black,15+0,citrus2014,1537,shijima220,1500,e4 c5 Bc4 d6 Qf3 Nf6 d3 Bg4 Qg3 Nc6 c3 h5 h3 h4 Qe3 Bh5 Nf3 g6 Qe2 Qb6 b3 Ne5 O-O Bxf3 gxf3 a6 Bf4 Nxc4 dxc4 Nh5 Be3 Bg7 Nd2 Bxc3 Rfd1 Bxa1 Rxa1 Qc7 Kf1 Qd7 Ke1 Qxh3 Qf1 Qxf1+ Nxf1 e5 Rd1 Nf4 Bxf4 exf4 Rxd6 Rd8 Rb6 Rd7 Nh2 O-O Ng4 Kg7 Ne5 Re7 Ng4 Rd8 Kf1 Red7 Kg2 g5 Ne5 Re7 Ng4 Rd2 a4 Rdd7 a5 Re6 Rxe6 fxe6 Ne5 Rc7 Kh3 Kf6 Ng4+ Kg6 Nh2 Rd7 Kg4 Rd2 Kh3 Rxf2 Ng4 Rxf3+ Kg2 Rg3+ Kf2 Rxg4 Kf3 Rg3+ Ke2 h3 Kd2 h2 Kc2 h1=N Kb2 f3 Ka3 f2 Ka4 f1=N b4 cxb4 Kxb4 Nd2 Kc5 Nxe4+ Kb6 Rc3 Kc7 Rxc4+ Kxb7 Nc3 Kxa6 Na4 Kb5 Rf4 Ka6 e5 Kb5 g4 Ka6 Nc3 Kb6 g3 Kc5 g2 Kd6 Nf2 Kxe5 Re4+,B20,Sicilian Defense: Bowdler Attack,3
01Y74mrM,TRUE,1413282694503,1413282979879,57,resign,white,7+2,fsv,1710,anonyaus123456789,1777,e4 c5 c4 Nc6 Nc3 Nf6 d3 d6 f4 g6 Be2 Bg7 Nf3 Bg4 O-O O-O h3 Bxf3 Bxf3 Nd4 Be3 Nxf3+ Rxf3 Qb6 Qc2 Nd7 Rb1 e5 f5 Nb8 Nd5 Qd8 a4 Nc6 b3 Nd4 Bxd4 cxd4 f6 Bh8 g4 h6 h4 Re8 g5 hxg5 hxg5 Qd7 Qh2 Qg4+ Qg2 Qe6 Kf2 Rac8 Rh1 a6 Rfh3,B20,Sicilian Defense: Staunton-Cochrane Variation,3
02farjAR,TRUE,1.50317E+12,1.50317E+12,58,mate,black,10+0,bischopscup,1178,marco2005,1616,e4 d6 d4 Nf6 Nc3 g6 Bc4 Bg7 Nf3 O-O O-O Re8 Re1 Nbd7 e5 dxe5 dxe5 Ng4 e6 fxe6 Bxe6+ Kh8 Bxg4 Bxc3 bxc3 Nc5 Bxc8 Rxc8 Qxd8 Rcxd8 Be3 Ne4 Bxa7 Nxc3 Ne5 Kg8 Bc5 Rd5 Bb4 Nb5 Nf3 Red8 a3 Nd4 Rac1 c5 Ba5 Nxf3+ Kh1 Nxe1 Bxd8 Rxd8 Rxe1 Kf8 Re5 Rd1+ Re1 Rxe1#,B07,Pirc Defense: Kholmov System,7
02T5yk22,FALSE,1503583144049,1503584848984,102,resign,black,20+5,viperfish12,2085,petarbosnjak,2305,e4 d6 d4 Nf6 Nc3 e5 dxe5 dxe5 Qxd8+ Kxd8 Bc4 Ke8 a3 Nbd7 Nb5 Bd6 Nxd6+ cxd6 f3 Nb6 Bd3 Be6 Be3 d5 exd5 Nfxd5 Bd2 Rc8 Ne2 f6 Kf2 Kf7 h4 h5 Rac1 Ne7 b3 Bf5 Bxf5 Nxf5 c4 Rhd8 Bc3 Rd3 Ba5 Rxb3 Bxb6 Rxb6 Rhd1 Ke6 Rd2 Rbc6 Rb2 b6 Rb4 Nd6 Ng3 g6 Ne4 Rxc4 Nxd6 Rxc1 Nxc8 Rxc8 g4 Rc2+ Kg3 f5 a4 f4+ Kh3 Rc3 Kg2 hxg4 fxg4 Rg3+ Kf2 Rxg4 a5 bxa5 Ra4 Rxh4 Rxa5 Rh7 Ra6+ Kf5 Ra5 g5 Ra6 g4 Kg2 Rb7 Kf2 Rb2+ Kf1 g3 Rxa7 Kg4 Ra3 f3 Ra4+ Kh3,B07,Pirc Defense #2,5
02V52u8v,FALSE,1.50014E+12,1.50014E+12,12,resign,white,10+0,mmarvin,1598,aidenleahycrooks,1862,e4 e5 Nf3 d6 Bc4 Nf6 Nc3 c6 Ng5 Qe7 Nxf7 Kd7,C41,Philidor Defense #3,5
03H8xiEz,TRUE,1502847626992,1502848833732,78,outoftime,black,10+0,harmon758,1672,iliberis67,1680,e4 e5 Nc3 Nf6 Nf3 d6 Bc4 Be7 d3 O-O h4 Bg4 Be3 Nc6 Qd2 Bxf3 gxf3 Nh5 Bg5 Bxg5 hxg5 Nd4 O-O-O Nf4 g6 h6 gxf7+ Kh8 Qe3 a6 Rhg1 b5 Bb3 Nxb3+ cxb3 Rxf7 Rg3 c6 Rdg1 Qe7 Qb6 Nxd3+ Kc2 Nb4+ Kb1 Rg8 a3 Nd3 Rd1 Nf4 Qxc6 d5 Nxd5 Nxd5 exd5 Qh4 Rg6 e4 fxe4 Qxe4+ Ka2 b4 Qxa6 bxa3 Kxa3 Qe7+ d6 Qh4 d7 Qh5 Rgd6 Qc5+ Ka2 Rd8 Qb7 Qa5+ Kb1 Qf5+,C42,Russian Game: Three Knights Game,5
03IUB5fo,TRUE,1498588331156,1498590980245,102,draw,draw,15+10,artykom,2077,matingseason,2090,d4 e6 c4 b6 Nc3 Bb4 Nf3 Bb7 e3 Nf6 Bd3 O-O Bd2 c5 a3 Bxc3 Bxc3 cxd4 exd4 d5 O-O dxc4 Bxc4 Qc7 Bb3 Ng4 Ne5 Nxe5 dxe5 Nc6 f4 Ne7 Bb4 Rfd8 Bd6 Qd7 Rc1 Nd5 Bxd5 Bxd5 Rc7 Qb5 Qh5 g6 Qg5 Rd7 Rfc1 Rxc7 Rxc7 Qe2 h4 Re8 h5 a5 hxg6 hxg6 Rxf7 Qd1+ Kh2 Qh5+ Qxh5 gxh5 Rc7 Kh8 g3 Rg8 Be7 Kh7 Bc5+ Rg7 Rxg7+ Kxg7 Bxb6 a4 Kh3 Kg6 Kh4 Bf3 Kh3 Kf5 Bd4 Ke4 Bc3 Kf5 Kh2 Kg4 Be1 Kf5 Kg1 h4 gxh4 Kxf4 Kf2 Bd1 Bc3 Kg4 Ke3 Kxh4 Kd4 Bb3 Kc5 Kg5,A40,English Defense,4
03NoaOf5,TRUE,1504206993190,1504207581192,51,resign,black,10+0,sudebala,1791,dastan-2009,1633,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 Qf6 f3 Qxc6 Nc3 Nf6 Bc4 O-O Bg5 d6 Bxf6 gxf6 Qd2 Kh8 Qh6 Rg8 Bxf7 Rg7 Qxf6 Bd7 Nd5 Rf8 Ne7 Rxf7 Qxf7 Bb4+ c3 Bxc3+ Kd1 Qa4+ Kc1 Bxb2+ Kb1 Rxf7 Kxb2 Rxe7 Rac1 Qd4+ Kb1 Bb5 Rhd1 Bd3+ Rxd3,C45,Scotch Game: Classical Variation |  Intermezzo Variation,10
03oeRSt4,FALSE,1504288656165,1504288799036,19,resign,white,10+0,stethoscopes,1682,sir_reza,1500,Nf3 d5 d4 e6 Bf4 h6 e3 a6 Bd3 Nc6 c3 Nf6 h3 Bd6 Ne5 Nxe5 dxe5 Nh5 Qxh5,D02,Queen's Pawn Game: Zukertort Variation,3
03q0xjq7,TRUE,1503162295371,1503163281921,99,resign,white,10+0,craciun05,1872,davidnemati,2021,d4 d5 e3 Nf6 Bd3 e6 f4 c5 c3 c4 Bc2 Nc6 Nf3 Bd7 Nbd2 Bd6 Ne5 O-O O-O h6 Qf3 Nh7 e4 Bxe5 fxe5 Ng5 Qg4 Qb6 Kh1 g6 exd5 Na5 dxe6 Bxe6 Qg3 Bd5 h4 Ne6 Bxg6 fxg6 Qxg6+ Ng7 Rf6 Qd8 Nf1 Rc8 Bxh6 Rc7 Ne3 Be4 Qxe4 Rxf6 exf6 Qxf6 Bg5 Qe6 Qxe6+ Nxe6 Bf6 Rf7 Be5 Nc6 Bg3 Ne7 Nxc4 Nf5 Bf2 Nf4 g3 Nd3 Kg2 b5 Ne5 Nxe5 dxe5 Rg7 e6 Nxh4+ Kh3 Nf5 g4 Nh6 Rg1 Kf8 Bc5+ Ke8 Rf1 Rg8 g5 Kd8 gxh6 Kc7 e7 Rh8 Kg4 Kd7 Rf8 Rxh6 e8=Q+,D00,Queen's Pawn Game: Stonewall Attack,5
040U0Fpb,TRUE,1.48108E+12,1.48108E+12,52,resign,black,10+0,youralterego,2279,geka77ua,1826,c4 f5 Nc3 Nf6 d3 e5 e4 Bb4 exf5 O-O g4 d5 cxd5 Nxd5 Qb3 Kh8 Bd2 Bxc3 bxc3 g6 Bg2 c6 fxg6 Qf6 f3 Bxg4 O-O-O Be6 Bh3 b5 Bxe6 Qxe6 Nh3 Nd7 Ng5 Qg8 Nf7+ Kg7 Bh6+ Kf6 Bxf8 Qxf8 c4 bxc4 dxc4 Nc5 Qc3 Nxc3 Rd6+ Ne6 f4 Ne2+,A10,English Opening: Anglo-Dutch Defense,2
04B0N7Xa,TRUE,1502512380980,1502513182523,74,mate,black,5+8,odalv,1356,khemar,1939,e4 e6 e5 d5 d4 c5 Bb5+ Nc6 Nf3 Qb6 Nc3 cxd4 Nxd4 Bd7 Be3 Qc7 Bf4 Nge7 O-O Ng6 Bg3 Ncxe5 Bxd7+ Qxd7 Re1 Nc6 Ndb5 a6 Nd4 Be7 Nf5 exf5 Nxd5 O-O Qf3 f4 Bxf4 Nxf4 Nxf4 Bf6 Rad1 Qf5 Rd5 Qxc2 h3 Rfe8 Red1 Rab8 Qg3 Be5 R5d2 Qf5 Rd5 Qxf4 Qd3 Qh2+ Kf1 Qh1+ Ke2 Bf6+ Kd2 Qxg2 Kc1 Nb4 Qc4 Rbc8 Rc5 Rxc5 Qxc5 Nc6 Qd5 Qxf2 Qd7 Qxb2#,C02,French Defense: Advance Variation #4,6
04EIrpaP,TRUE,1.48054E+12,1.48054E+12,39,resign,white,15+0,hairy-conniption,1793,samuelpro,1076,e4 e6 d4 d5 exd5 exd5 Nf3 Qe7+ Be3 f5 Ne5 f4 Bxf4 Nc6 Qh5+ g6 Qf3 Bg7 Bb5 a6 Bxc6+ bxc6 O-O Nf6 Nc3 Ng4 Nxc6 Qe6 Rfe1 Be5 Nxe5 Nxe5 Bxe5 Qb6 Bxh8+ Kd7 Nxd5 Qxd4 Bxd4,C01,French Defense: Exchange Variation,5
05OhO1bm,TRUE,1.50225E+12,1.50225E+12,63,mate,white,15+0,tahastanly,1393,snlakgn,1427,e4 e6 d4 d5 exd5 exd5 Qe2+ Be7 Qe5 f6 Qg3 Nc6 Qxg7 Kd7 Qxh8 Nh6 Qxh7 Nf5 Qxf5+ Ke8 Qh5+ Kd7 Nc3 Nxd4 Qxd5+ Ke8 Qg8+ Kd7 Bb5+ c6 Qg4+ Kc7 Bf4+ Bd6 Bxd6+ Kxd6 Qxd4+ Kc7 Qxd8+ Kxd8 Bd3 Be6 Nf3 c5 O-O-O c4 Bxc4+ Ke7 Rde1 Rc8 Bxe6 Rxc3 bxc3 b6 h4 Kf8 h5 Kg7 h6+ Kh7 Bf5+ Kh8 Re8#,C01,French Defense: Exchange Variation,5
05uL2Hod,TRUE,1480114113758,1480114481144,50,resign,black,2+10,rexlex,2004,tunisinov,1918,d4 Nf6 c4 g6 Nc3 Bg7 Nf3 d6 Bf4 Nbd7 Qd2 c5 d5 O-O Bh6 b6 h4 Bb7 h5 e6 hxg6 fxg6 Bxg7 Kxg7 Qh6+ Kg8 Ng5 exd5 Nxd5 Bxd5 cxd5 Qe7 e3 Ne5 O-O-O Neg4 Qh3 Nxf2 Qe6+ Qxe6 Nxe6 Nxh1 Nxf8 Kxf8 Bb5 Ng3 e4 Ngxe4 Rf1 Kg7,E61,King's Indian Defense,6
05yEsA2X,TRUE,1.46827E+12,1.46827E+12,42,resign,black,15+0,nitsua49,1649,badrlamal,2183,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Qc7 Nxc6 bxc6 Nc3 e6 Bd3 a6 O-O d5 Re1 Be7 e5 c5 Bf4 c4 Be2 Bc5 Na4 Ba7 b4 Ne7 Bf3 c3 Be3 Bxe3 Rxe3 Nf5 Rxc3 Qb8 Nc5 O-O a3 Qxe5 Qe2 Qxc3,B32,Sicilian Defense: Flohr Variation,8
05YWdks5,FALSE,1.50233E+12,1.50233E+12,55,mate,white,10+0,cracking12345,1732,ducannguyen,1654,d4 d5 c4 c6 Nc3 e6 Nf3 Nf6 Bg5 Bb4 cxd5 Bxc3+ bxc3 cxd5 e3 O-O Bd3 Nbd7 O-O h6 Bh4 Qa5 c4 dxc4 Bxc4 Ne4 Qc2 Nd6 Bb3 Re8 Bg3 Nf5 Be5 Nxe5 Nxe5 b6 Rfc1 Bb7 Qc7 Bxg2 Qxf7+ Kh7 Qg6+ Kh8 Nf7+ Kg8 Bxe6 Bh3 Nxh6+ Kh8 Nf7+ Kg8 Ng5+ Kh8 Qh7#,D43,Semi-Slav Defense,8
0605aXGr,TRUE,1502545098019,1502545872245,88,resign,black,10+0,mohamadi46,1935,kferapont,2102,c4 Nf6 d4 g6 Nc3 d6 e4 Bg7 Bd2 O-O Rc1 e5 d5 a5 Nf3 Na6 a3 Nc5 Qc2 a4 h3 Nh5 Be2 Nf4 Bxf4 exf4 O-O f5 Bd3 Nxd3 Qxd3 fxe4 Qxe4 Bf5 Qe2 Qf6 Qd2 g5 Nh2 h5 f3 Rae8 Rfe1 Qd4+ Qxd4 Bxd4+ Kh1 Bd7 Nf1 Kf7 Nd2 Be3 Rcd1 g4 Kh2 g3+ Kh1 Bxd2 Rxe8 Rxe8 Ne4 Be3 Rb1 Bf5 b4 Bxe4 fxe4 Rxe4 c5 Rc4 cxd6 cxd6 h4 Rc1+ Rxc1 Bxc1 Kg1 Bxa3 b5 Bc5+ Kf1 a3 Ke2 a2 Kd2 a1=Q Kd3 Qd4+,E77,King's Indian Defense: Six Pawns Attack,8
zZkZmazG,TRUE,1.50417E+12,1.50417E+12,68,mate,black,7+15,pavelsps,1996,brookeb1995,2132,c4 b5 cxb5 Bb7 Nf3 g6 Nc3 d6 e4 e5 Bc4 Nd7 d3 Nb6 Bb3 Bg7 Ng5 Nh6 a4 Nd7 O-O O-O f4 Nc5 Bd5 Bxd5 Nxd5 exf4 Bxf4 Bxb2 Ra2 Bd4+ Kh1 a6 Nf3 Bg7 h3 f5 Bg5 Qd7 Qd2 fxe4 Bxh6 exf3 g4 Bxh6 Qxh6 Qe6 Qg5 axb5 Ne7+ Kh8 Raf2 bxa4 Rxf3 Rxf3 Rxf3 a3 Re3 a2 Rxe6 a1=Q+ Kg2 Ra2+ Kg3 Qg1+ Kh4 Qf2#,A10,English Opening: Jaenisch Gambit,2
zzL3hSsQ,FALSE,1504402794572,1504403711907,71,outoftime,white,8+0,howchessyt,1163,checkingball,1318,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bg5 Bg7 Qd2 Nc6 Nxc6 bxc6 Bh6 Bxh6 Qxh6 Rb8 Qg7 Rg8 Qh6 Rxb2 Bd3 Qa5 Qd2 Ba6 O-O Bxd3 Qxd3 Kd7 Rab1 Rxb1 Rxb1 c5 Rb7+ Kc6 Rxe7 Re8 Rxf7 Nxe4 Qd5+ Kb6 Rb7+ Ka6 Qc6+ Qb6 Rxb6+ axb6 Qxe8 Nxc3 Qb8 d5 Qa8+ Kb5 Qe8+ Kc4 Qh8 Nxa2 Qxh7 d4 Qxg6 Nb4 f4 Kc3 h4 Nxc2 h5 d3 Qf6+,B70,Sicilian Defense: Dragon Variation,10
zZQvgpxs,TRUE,1.43465E+12,1.43465E+12,59,mate,white,5+5,traced,1874,itsmagic,2049,d4 c5 d5 Nf6 Nc3 e5 e4 d6 Nf3 Be7 Be2 h5 Nd2 h4 h3 a6 a4 b6 Nc4 Nbd7 O-O g6 Bg5 Nh5 Nxd6+ Kf8 Bxe7+ Qxe7 Nxc8 Rxc8 Bxa6 Rd8 Bb5 Nf4 a5 Rh5 a6 Rg5 a7 Rxg2+ Kh1 Qg5 Qf3 Nf6 a8=Q Rxa8 Rxa8+ Kg7 d6 N6h5 d7 Ng3+ fxg3 Rxg3 d8=Q f6 Ra7+ Kh6 Qf8#,A43,Benoni Defense: Benoni-Indian Defense,4
zZSi9smc,FALSE,1484012859889,1484013815122,77,resign,white,5+5,lebeast101,2101,shoshonte,1805,e4 e6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Nf3 Ngf6 Nxf6+ Nxf6 c3 c5 Ne5 a6 Qa4+ Nd7 Bb5 cxd4 Bxd7+ Bxd7 Qxd4 Be7 Be3 Bb5 a4 Qxd4 Bxd4 Bc6 Nxc6 bxc6 Bb6 a5 Be3 c5 c4 Rb8 Rb1 Kd7 Ke2 Rb3 Rhd1+ Kc6 Rd3 Rhb8 Rxb3 Rxb3 Kd1 Rb4 b3 g6 Bd2 Rb8 Bxa5 Rb7 Kc2 Rb8 Rd1 Bf6 Bd2 Bd4 Bf4 Rb7 f3 f5 Re1 Kd7 Be5 Bf2 Re2 Bg1 Rd2+ Ke8 Rd6 Kf7 Rc6,C10,French Defense: Rubinstein Variation |  Kasparov Attack,13
zZUY9tOG,TRUE,1.44631E+12,1.44631E+12,57,outoftime,white,8+0,dedy78,1295,perseidon,1304,c3 d6 e4 Nf6 d3 g6 Be3 Ng4 e5 Nxe3 fxe3 d5 d4 e6 Nh3 Be7 g3 O-O Bd3 Nc6 Qf3 Bd7 Na3 a6 O-O Na5 Qg4 b5 b4 Nc4 Nxc4 bxc4 Bc2 a5 Rab1 axb4 cxb4 Rxa2 Bb3 cxb3 Rxb3 Ra4 b5 Rb4 Ra3 Rxb5 Ra6 Rb6 Ra7 Rb3 Rfa1 Rb8 Ng5 c5 h4 Kh8 Nxh7,A00,Saragossa Opening,1
ZzVYVfuL,TRUE,1.50264E+12,1.50264E+12,33,resign,white,10+10,lcover,1425,katerina1965,1576,e4 e6 d4 d5 exd5 exd5 Nc3 c6 Qe2+ Be7 Bg5 Be6 Bxe7 Nxe7 Nf3 h6 Qd3 O-O Na4 Qa5+ Nc3 Re8 Be2 Bf5 Qd2 Nd7 O-O Nf6 Bd3 Ne4 Nxe4 Bxe4 Qxa5,C01,French Defense: Exchange Variation,5
ZzWyY1f8,TRUE,1.50354E+12,1.50354E+12,75,outoftime,white,10+0,avelez8,1724,vincenzo2000,1855,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Ne5 Nc3 Bb4 Bd2 Nf6 f4 Ng6 Bd3 d6 O-O O-O a3 Ba5 b4 Bb6 Be3 c5 Nf5 Bxf5 exf5 Ne7 Kh1 cxb4 Bxb6 Qxb6 axb4 Qxb4 Re1 Nc6 Ne4 Nxe4 Bxe4 Rfe8 Qd3 Rad8 f6 g6 Qh3 Qd4 Qh4 Rxe4 Rxe4 Qxa1+ Re1 Qc3 g4 Qf3+ Kg1 Qxf4 Rf1 Qd4+ Kh1 Ne5 Qh6 Qe4+ Kg1 Qxg4+ Kf2 Qd4+ Ke2 Qc4+ Ke1 Qc3+ Kd1 Qa1+ Kd2 Nc4+ Kd3,C45,Scotch Game,7
